REQUISITION_NUMBER,REQUISITION_HEADER_ID,REQUISITION_LINE_ID,REQ_BU_ID,NAME,CREATION_DATE,FUNDS_STATUS,DESCRIPTION,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,ATTRIBUTE16,ATTRIBUTE17,ATTRIBUTE18,ATTRIBUTE19,ATTRIBUTE20,LAST_UPDATE_DATE,LINE_NUMBER,LINE_TYPE,UOM_CODE,UNIT_PRICE,ITEM_ID,ITEM_DESCRIPTION,AMOUNT,CURRENCY_AMOUNT,PO_ORDER,SECONDARY_UOM_CODE,SECONDARY_QUANTITY,CREATED_BY,DESTINATION_TYPE_CODE,DESTINATION_ORGANIZATION_ID,SOURCE_TYPE_CODE,DOCUMENT_STATUS,CATEGORY,CONVERSION_TYPE,CONVERSION_DATE,CONVERSION_RATE,LOCATION,VENDOR_ID,VENDOR_SITE_ID,ATTRIBUTE_CATEGORY,ATTRIBUTE1_L,ATTRIBUTE2_L,ATTRIBUTE3_L,ATTRIBUTE_CATEGORY_L,BUDGET_DATE,FUNDS_STATUS,REQUISITION_LINE_ID,PERCENT,DISTRIBUTION_CURRENCY_AMOUNT,DISTRIBUTION,CHARGE_ACCOUNT
PR17000962,3013,7022,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819278_PR1214843220161020-144355-399_1.txt,LINFOX,12819278,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000089,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-FZN,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7022,100,7350,1,11.00000.117101.000000.00.0000
217000019,3029,7058,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819418_PR1214843220161020-144355-399_1.txt,LINFOX,12819418,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000101,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7058,100,4500,1,11.00000.117101.000000.00.0000
PR17000769,3004,4008,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819277_PR1214843220161020-144355-399.txt,LINFOX,12819277,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000086,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,Headquarters,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,4008,100,60000,1,11.00000.117101.000000.00.0000
PR17000963,3015,7026,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819282_PR1214843220161020-144355-399_1.txt,LINFOX,12819282,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000088,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-CHL,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7026,100,150000,1,11.00000.117101.000000.00.0000
217000020,3030,7060,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819282_PR1214843220161020-144355-399_1.txt,LINFOX,12819282,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000105,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-CHL,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7060,100,150000,1,11.00000.117101.000000.00.0000
217000021,3031,7062,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819419_PR1214843220161020-144355-399_1.txt,LINFOX,12819419,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000106,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7062,100,45000,1,11.00000.117101.000000.00.0000
217000023,3033,7068,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819423_PR1214843220161020-144355-399_1.txt,LINFOX,12819423,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000099,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7068,100,720000,1,11.00000.117101.000000.00.0000
217000024,3034,7070,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819424_PR1214843220161020-144355-399_1.txt,LINFOX,12819424,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000104,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7070,100,720000,1,11.00000.117101.000000.00.0000
217000025,3035,7073,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819425_PR1214843220161020-144355-399_1.txt,LINFOX,12819425,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000103,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7073,100,20000,1,11.00000.117101.000000.00.0000
217000025,3035,7074,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819425_PR1214843220161020-144355-399_1.txt,LINFOX,12819425,,,,,,,,,,,,,,,,,,,20171202,2,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000103,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,2.000,,,"20171202 000000",RESERVED,7074,100,15000,1,11.00000.117101.000000.00.0000
217000026,3036,7076,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819344_PR1214843220161020-144355-399_1.txt,LINFOX,12819344,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000100,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-CHL,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7076,100,30000,1,11.00000.117101.000000.00.0000
217000027,3037,7078,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819420_PR1214843220161020-144355-399_1.txt,LINFOX,12819420,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000098,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7078,100,19200,1,11.00000.117101.000000.00.0000
217000028,3038,7080,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819278_PR1214843220161020-144355-399_1.txt,LINFOX,12819278,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000107,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-FZN,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7080,100,7350,1,11.00000.117101.000000.00.0000
217000029,3039,7082,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819421_PR1214843220161020-144355-399_1.txt,LINFOX,12819421,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000102,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7082,100,480000,1,11.00000.117101.000000.00.0000
217000030,3040,7084,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819422_PR1214843220161020-144355-399_1.txt,LINFOX,12819422,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000108,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,7084,100,480000,1,11.00000.117101.000000.00.0000
