invoice,date,store,before vat,Vat,Total,price,quantity,before vat,Vat,Total,
1707X06842,08-07-2017,1650, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X06843,08-07-2017,1396, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X06844,08-07-2017,1393, 950.40 , 66.53 ," 1,016.93 ",31.68, 30.00 , 950.40 , 66.53 ," 1,016.93 ",
1707X06846,08-07-2017,1458," 1,267.20 ", 88.70 ," 1,355.90 ",31.68, 40.00 ," 1,267.20 ", 88.70 ," 1,355.90 ",
1707X06847,08-07-2017,1694, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X06849,08-07-2017,1698, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X06850,08-07-2017,1239, 792.00 , 55.44 , 847.44 ,31.68, 25.00 , 792.00 , 55.44 , 847.44 ,
1707X06874,08-07-2017,2213," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X06875,08-07-2017,1562," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X06876,08-07-2017,1683," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X06877,08-07-2017,1593, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X06878,08-07-2017,1293, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X06898,08-07-2017,1453," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X06900,08-07-2017,1485, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X07163,08-07-2017,1490, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X07164,08-07-2017,2235, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07165,08-07-2017,1407, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07166,08-07-2017,1721," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X07201,08-07-2017,1369, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07202,08-07-2017,1443, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07203,08-07-2017,1556, 324.72 , 22.73 , 347.45 ,27.06, 12.00 , 324.72 , 22.73 , 347.45 ,
1707X07205,08-07-2017,1202," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X07298,08-07-2017,1558, 573.60 , 40.15 , 613.75 ,28.68, 20.00 , 573.60 , 40.15 , 613.75 ,
1707X07299,08-07-2017,1638, 430.20 , 30.11 , 460.31 ,28.68, 15.00 , 430.20 , 30.11 , 460.31 ,
1707X07307,08-07-2017,1643, 430.20 , 30.11 , 460.31 ,28.68, 15.00 , 430.20 , 30.11 , 460.31 ,
1707X07348,08-07-2017,1452, 729.00 , 51.03 , 780.03 ,29.16, 25.00 , 729.00 , 51.03 , 780.03 ,
1707X07349,08-07-2017,1707, 430.20 , 30.11 , 460.31 ,28.68, 15.00 , 430.20 , 30.11 , 460.31 ,
1707X07459,08-07-2017,1595, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07518,08-07-2017,1545, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
